Links,Name,Price,Location,Mileage,Transmission,Exterior Colour,Engine,Drivetrain,Fuel Type,Major Options
"Save this listingNew Arrival2019 Mazda MAZDA3 GT Sedan AWD$27,888 ·$538/mo est.**Estimated payments are for informational purposes only and do not represent a financing offer or guarantee of credit from the seller or from CarGurus. Estimated payments are calculated based on the Dealer's Price and may or may not include freight, fees, license, insurance, registration and taxes. Dealer rates may differ. Monthly Estimate based on a 4.4% APR for 60 months, $27,888 vehicle price, $0 down payment, $0 trade-in, $0 sales tax.38,361 kmSurrey, BC (19 km)GREAT DEAL$3,179 below market(604) 239-0535Request Info","2019 Mazda MAZDA3 GT Sedan AWD - $27,888","$27,888","Surrey, BC
19 km away","38,361 kilometres",Automatic,White,,,,"Leather Seats, Sunroof/Moonroof, Navigation System, Backup Camera, Blind Spot Monitoring, Parking Sensors, Heated Seats"
"Save this listing2021 Jeep Gladiator Rubicon Crew Cab 4WD$64,995 ·$1,254/mo est.**Estimated payments are for informational purposes only and do not represent a financing offer or guarantee of credit from the seller or from CarGurus. Estimated payments are calculated based on the Dealer's Price and may or may not include freight, fees, license, insurance, registration and taxes. Dealer rates may differ. Monthly Estimate based on a 4.4% APR for 60 months, $64,995 vehicle price, $0 down payment, $0 trade-in, $0 sales tax.4,636 kmSurrey, BC (16 km)GREAT DEAL$8,796 below marketRequest InfoAuthorized Jeep Dealer","2021 Jeep Gladiator Rubicon Crew Cab 4WD - $64,995","$64,995","Surrey, BC
16 km away","4,636 kilometres",8-Speed Automatic Overdrive,Black,285 hp 3.6L V6,Four-Wheel Drive,Gasoline,"Navigation System, Alloy Wheels, Bluetooth, Backup Camera, Remote Start, Blind Spot Monitoring, Parking Sensors, Tow Package, Quick Order Package"
"Save this listing2014 GMC Yukon SLT 4WD$36,888 ·$712/mo est.**Estimated payments are for informational purposes only and do not represent a financing offer or guarantee of credit from the seller or from CarGurus. Estimated payments are calculated based on the Dealer's Price and may or may not include freight, fees, license, insurance, registration and taxes. Dealer rates may differ. Monthly Estimate based on a 4.4% APR for 60 months, $36,888 vehicle price, $0 down payment, $0 trade-in, $0 sales tax.65,287 kmCoquitlam, BC (9 km)GREAT DEAL$5,394 below market(587) 906-8449Request Info","2014 GMC Yukon SLT 4WD - $36,888","$36,888","Coquitlam, BC
9 km away","65,287 kilometres",Automatic,White,320 hp 5.3L V8 Flex Fuel Vehicle,Four-Wheel Drive,Flex Fuel Vehicle,"Sunroof/Moonroof, Navigation System, Suspension Package, Alloy Wheels, Parking Sensors, Premium Package, Heated Seats"
"Image Not AvailableSave this listingNew Arrival2013 Lexus CT Hybrid 200h FWD$16,900 ·$326/mo est.**Estimated payments are for informational purposes only and do not represent a financing offer or guarantee of credit from the seller or from CarGurus. Estimated payments are calculated based on the Dealer's Price and may or may not include freight, fees, license, insurance, registration and taxes. Dealer rates may differ. Monthly Estimate based on a 4.4% APR for 60 months, $16,900 vehicle price, $0 down payment, $0 trade-in, $0 sales tax.133,334 kmNorth Vancouver, BC (12 km)GREAT DEAL$2,554 below market(604) 330-8617Request Info","2013 Lexus CT Hybrid 200h FWD - $16,900","$16,900","North Vancouver, BC
12 km away","133,334 kilometres",Automatic,Black,134 hp 1.8L I4 Hybrid,Front-Wheel Drive,Hybrid,
"Save this listingNew Arrival2016 Cadillac ATS 2.0T Luxury RWD$28,995 ·$560/mo est.**Estimated payments are for informational purposes only and do not represent a financing offer or guarantee of credit from the seller or from CarGurus. Estimated payments are calculated based on the Dealer's Price and may or may not include freight, fees, license, insurance, registration and taxes. Dealer rates may differ. Monthly Estimate based on a 4.4% APR for 60 months, $28,995 vehicle price, $0 down payment, $0 trade-in, $0 sales tax.68,440 kmVancouver, BC (7 km)GREAT DEAL$4,133 below market(604) 330-1939Request InfoAuthorized Cadillac Dealer","2016 Cadillac ATS 2.0T Luxury RWD - $28,995","$28,995","Vancouver, BC
7 km away","68,440 kilometres",Automatic,G7e_red_obsession_ti,272 hp 2L I4,Rear-Wheel Drive,Gasoline,"Leather Seats, Sunroof/Moonroof, Navigation System, Alloy Wheels, Bluetooth, Memory Package, Backup Camera, Remote Start, Parking Sensors, Heated Seats, CarPlay"
"Save this listingNew Arrival2012 Volvo C30 T5$12,900 ·$249/mo est.**Estimated payments are for informational purposes only and do not represent a financing offer or guarantee of credit from the seller or from CarGurus. Estimated payments are calculated based on the Dealer's Price and may or may not include freight, fees, license, insurance, registration and taxes. Dealer rates may differ. Monthly Estimate based on a 4.4% APR for 60 months, $12,900 vehicle price, $0 down payment, $0 trade-in, $0 sales tax.125,000 kmRichmond, BC (11 km)GREAT DEAL$2,940 below market(604) 200-7592Request Info","2012 Volvo C30 T5 - $12,900","$12,900","Richmond, BC
11 km away","125,000 kilometres",Automatic,Orange Flame Metallic [Orange],227 hp 2.5L I5,Front-Wheel Drive,Gasoline,"Bluetooth, Heated Seats, Sunroof/Moonroof"
"Save this listing2016 Volkswagen Jetta 1.4T Comfortline FWD$10,888 ·$210/mo est.**Estimated payments are for informational purposes only and do not represent a financing offer or guarantee of credit from the seller or from CarGurus. Estimated payments are calculated based on the Dealer's Price and may or may not include freight, fees, license, insurance, registration and taxes. Dealer rates may differ. Monthly Estimate based on a 4.4% APR for 60 months, $10,888 vehicle price, $0 down payment, $0 trade-in, $0 sales tax.174,276 kmCoquitlam, BC (9 km)GREAT DEAL$2,692 below market(587) 906-8449Request Info","2016 Volkswagen Jetta 1.4T Comfortline FWD - $10,888","$10,888","Coquitlam, BC
9 km away","174,276 kilometres",Automatic,White,,,,Backup Camera
"Save this listing2017 Hyundai Tucson 2.0L Premium FWD$16,995 ·$328/mo est.**Estimated payments are for informational purposes only and do not represent a financing offer or guarantee of credit from the seller or from CarGurus. Estimated payments are calculated based on the Dealer's Price and may or may not include freight, fees, license, insurance, registration and taxes. Dealer rates may differ. Monthly Estimate based on a 4.4% APR for 60 months, $16,995 vehicle price, $0 down payment, $0 trade-in, $0 sales tax.144,103 kmMaple Ridge, BC (31 km)GREAT DEAL$3,277 below market(604) 243-1684Request InfoAuthorized Hyundai Dealer","2017 Hyundai Tucson 2.0L Premium FWD - $16,995","$16,995","Maple Ridge, BC
31 km away","144,103 kilometres",Automatic,Gray (Coliseum Grey),,,,"Backup Camera, Blind Spot Monitoring"
"Save this listing2018 Ford Transit Cargo 250 3dr SWB Low Roof Cargo Van with 60/40 Passenger Side Doors$49,980 ·$964/mo est.**Estimated payments are for informational purposes only and do not represent a financing offer or guarantee of credit from the seller or from CarGurus. Estimated payments are calculated based on the Dealer's Price and may or may not include freight, fees, license, insurance, registration and taxes. Dealer rates may differ. Monthly Estimate based on a 4.4% APR for 60 months, $49,980 vehicle price, $0 down payment, $0 trade-in, $0 sales tax.74,912 kmVancouver, BC (10 km)GREAT DEAL$10,325 below market(604) 670-7179Request Info","2018 Ford Transit Cargo 250 3dr SWB Low Roof Cargo Van with 60/40 Passenger Side Doors - $49,980","$49,980","Vancouver, BC
10 km away","74,912 kilometres",Automatic,White,275 hp 3.7L V6,Rear-Wheel Drive,Gasoline,"Bluetooth, Backup Camera"
"Save this listing2015 Honda Civic Coupe EX$14,900 ·$288/mo est.**Estimated payments are for informational purposes only and do not represent a financing offer or guarantee of credit from the seller or from CarGurus. Estimated payments are calculated based on the Dealer's Price and may or may not include freight, fees, license, insurance, registration and taxes. Dealer rates may differ. Monthly Estimate based on a 4.4% APR for 60 months, $14,900 vehicle price, $0 down payment, $0 trade-in, $0 sales tax.78,200 kmVancouver, BC (5 km)GREAT DEAL$2,981 below market(604) 670-5292Request Info","2015 Honda Civic Coupe EX - $14,900","$14,900","Vancouver, BC
5 km away","78,200 kilometres",Manual,Dyno Blue Pearl,143 hp 1.8L I4,Front-Wheel Drive,Gasoline,"Bluetooth, Backup Camera, Sunroof/Moonroof, Heated Seats, Alloy Wheels"
"Save this listing2020 RAM 1500 Laramie Longhorn Crew Cab 4WD$63,999 ·$1,235/mo est.**Estimated payments are for informational purposes only and do not represent a financing offer or guarantee of credit from the seller or from CarGurus. Estimated payments are calculated based on the Dealer's Price and may or may not include freight, fees, license, insurance, registration and taxes. Dealer rates may differ. Monthly Estimate based on a 4.4% APR for 60 months, $63,999 vehicle price, $0 down payment, $0 trade-in, $0 sales tax.85,317 kmSurrey, BC (15 km)GREAT DEAL$6,249 below market(778) 720-6410Request InfoAuthorized RAM Dealer","2020 RAM 1500 Laramie Longhorn Crew Cab 4WD - $63,999","$63,999","Surrey, BC
15 km away","85,317 kilometres",8-Speed Automatic,,395 hp 5.7L V8,Four-Wheel Drive,Gasoline,"Leather Seats, Sunroof/Moonroof, Navigation System, Adaptive Cruise Control, Alloy Wheels, Bluetooth, Backup Camera, Remote Start, Blind Spot Monitoring, Parking Sensors, Heated Seats"
"Save this listing2020 Toyota Camry XSE FWD$41,500 ·$801/mo est.**Estimated payments are for informational purposes only and do not represent a financing offer or guarantee of credit from the seller or from CarGurus. Estimated payments are calculated based on the Dealer's Price and may or may not include freight, fees, license, insurance, registration and taxes. Dealer rates may differ. Monthly Estimate based on a 4.4% APR for 60 months, $41,500 vehicle price, $0 down payment, $0 trade-in, $0 sales tax.5,111 kmRichmond, BC (8 km)GREAT DEAL$2,812 below market(604) 229-4709Request Info","2020 Toyota Camry XSE FWD - $41,500","$41,500","Richmond, BC
8 km away","5,111 kilometres",Automatic,White,206 hp 2.5L I4,Front-Wheel Drive,Gasoline,
"Save this listing2019 Nissan Qashqai SV FWD$24,998 ·$483/mo est.**Estimated payments are for informational purposes only and do not represent a financing offer or guarantee of credit from the seller or from CarGurus. Estimated payments are calculated based on the Dealer's Price and may or may not include freight, fees, license, insurance, registration and taxes. Dealer rates may differ. Monthly Estimate based on a 4.4% APR for 60 months, $24,998 vehicle price, $0 down payment, $0 trade-in, $0 sales tax.31,029 kmVancouver, BC (8 km)GREAT DEAL$2,814 below market(604) 332-1842Request InfoAuthorized Nissan Dealer","2019 Nissan Qashqai SV FWD - $24,998","$24,998","Vancouver, BC
8 km away","31,029 kilometres",,Pearl White,,,,"Sunroof/Moonroof, Alloy Wheels, Bluetooth, Backup Camera, Remote Start, Blind Spot Monitoring, Heated Seats"
"Save this listingNew Arrival2019 Honda Accord Hybrid Touring FWD$37,995 ·$733/mo est.**Estimated payments are for informational purposes only and do not represent a financing offer or guarantee of credit from the seller or from CarGurus. Estimated payments are calculated based on the Dealer's Price and may or may not include freight, fees, license, insurance, registration and taxes. Dealer rates may differ. Monthly Estimate based on a 4.4% APR for 60 months, $37,995 vehicle price, $0 down payment, $0 trade-in, $0 sales tax.25,320 kmNorth Vancouver, BC (12 km)GREAT DEAL$3,557 below market(604) 210-4206Request InfoAuthorized Honda Dealer","2019 Honda Accord Hybrid Touring FWD - $37,995","$37,995","North Vancouver, BC
12 km away","25,320 kilometres",Continuously Variable Transmission,Black (Obsidian Blue Pearl),212 hp 2L I4 Hybrid,Front-Wheel Drive,Hybrid,"Sunroof/Moonroof, Remote Start, Android Auto, CarPlay"
"Save this listingNew Arrival2018 Mazda MAZDA3 GS$18,378 ·$355/mo est.**Estimated payments are for informational purposes only and do not represent a financing offer or guarantee of credit from the seller or from CarGurus. Estimated payments are calculated based on the Dealer's Price and may or may not include freight, fees, license, insurance, registration and taxes. Dealer rates may differ. Monthly Estimate based on a 4.4% APR for 60 months, $18,378 vehicle price, $0 down payment, $0 trade-in, $0 sales tax.59,058 kmBurnaby, BC (2 km)GREAT DEAL$3,440 below market(604) 265-7892Request InfoAuthorized Mazda Dealer","2018 Mazda MAZDA3 GS - $18,378","$18,378","Burnaby, BC
2 km away","59,058 kilometres",Automatic,Gray (Machine Grey Met),,,,SE Package
"Save this listing2020 Ford Mustang Bullitt Coupe RWD$53,888 ·$1,040/mo est.**Estimated payments are for informational purposes only and do not represent a financing offer or guarantee of credit from the seller or from CarGurus. Estimated payments are calculated based on the Dealer's Price and may or may not include freight, fees, license, insurance, registration and taxes. Dealer rates may differ. Monthly Estimate based on a 4.4% APR for 60 months, $53,888 vehicle price, $0 down payment, $0 trade-in, $0 sales tax.13,276 kmCoquitlam, BC (9 km)GREAT DEAL$3,156 below market(587) 906-8449Request Info","2020 Ford Mustang Bullitt Coupe RWD - $53,888","$53,888","Coquitlam, BC
9 km away","13,276 kilometres",6-Speed Automatic,Black,480 hp 5L V8,Rear-Wheel Drive,Gasoline,"Backup Camera, Parking Sensors, Navigation System, Heated Seats"
"Save this listing2014 Toyota Highlander XLE AWD$30,999 ·$598/mo est.**Estimated payments are for informational purposes only and do not represent a financing offer or guarantee of credit from the seller or from CarGurus. Estimated payments are calculated based on the Dealer's Price and may or may not include freight, fees, license, insurance, registration and taxes. Dealer rates may differ. Monthly Estimate based on a 4.4% APR for 60 months, $30,999 vehicle price, $0 down payment, $0 trade-in, $0 sales tax.61,819 kmSurrey, BC (16 km)GREAT DEAL$3,825 below market(604) 245-8173Request Info","2014 Toyota Highlander XLE AWD - $30,999","$30,999","Surrey, BC
16 km away","61,819 kilometres",6-Speed Automatic,,270 hp 3.5L V6,All-Wheel Drive,Gasoline,"Leather Seats, Sunroof/Moonroof, Navigation System, Alloy Wheels, Third Row Seating, Bluetooth, Backup Camera, Heated Seats"
"Save this listing2020 Hyundai Kona Limited AWD$28,900 ·$558/mo est.**Estimated payments are for informational purposes only and do not represent a financing offer or guarantee of credit from the seller or from CarGurus. Estimated payments are calculated based on the Dealer's Price and may or may not include freight, fees, license, insurance, registration and taxes. Dealer rates may differ. Monthly Estimate based on a 4.4% APR for 60 months, $28,900 vehicle price, $0 down payment, $0 trade-in, $0 sales tax.6,466 kmVancouver, BC (5 km)GREAT DEAL$3,515 below marketRequest Info","2020 Hyundai Kona Limited AWD - $28,900","$28,900","Vancouver, BC
5 km away","6,466 kilometres",Automatic,Blue,175 hp 1.6L I4,All-Wheel Drive,Gasoline,"Bluetooth, Backup Camera, Android Auto, CarPlay"
"Save this listing2020 Hyundai Palisade SEL AWD$45,900 ·$886/mo est.**Estimated payments are for informational purposes only and do not represent a financing offer or guarantee of credit from the seller or from CarGurus. Estimated payments are calculated based on the Dealer's Price and may or may not include freight, fees, license, insurance, registration and taxes. Dealer rates may differ. Monthly Estimate based on a 4.4% APR for 60 months, $45,900 vehicle price, $0 down payment, $0 trade-in, $0 sales tax.20,481 kmLangley, BC (29 km)GREAT DEAL$4,713 below marketRequest Info","2020 Hyundai Palisade SEL AWD - $45,900","$45,900","Langley, BC
29 km away","20,481 kilometres",Automatic,Black,291 hp 3.8L V6,All-Wheel Drive,Gasoline,
"Save this listing2019 Porsche 911 GT3 RS Coupe RWD$285,885 ·$5,514/mo est.**Estimated payments are for informational purposes only and do not represent a financing offer or guarantee of credit from the seller or from CarGurus. Estimated payments are calculated based on the Dealer's Price and may or may not include freight, fees, license, insurance, registration and taxes. Dealer rates may differ. Monthly Estimate based on a 4.4% APR for 60 months, $285,885 vehicle price, $0 down payment, $0 trade-in, $0 sales tax.16,043 kmLangley, BC (29 km)GREAT DEAL$31,660 below marketRequest InfoAuthorized Porsche Dealer","2019 Porsche 911 GT3 RS Coupe RWD - $285,885","$285,885","Langley, BC
29 km away","16,043 kilometres",Automatic,Lizard Green,520 hp 4L H6,Rear-Wheel Drive,Gasoline,
"Save this listingNew Arrival2016 Jeep Cherokee North FWD$18,990 ·$367/mo est.**Estimated payments are for informational purposes only and do not represent a financing offer or guarantee of credit from the seller or from CarGurus. Estimated payments are calculated based on the Dealer's Price and may or may not include freight, fees, license, insurance, registration and taxes. Dealer rates may differ. Monthly Estimate based on a 4.4% APR for 60 months, $18,990 vehicle price, $0 down payment, $0 trade-in, $0 sales tax.72,730 kmVictoria, BC (90 km)GREAT DEAL$4,402 below market(778) 400-6175Request Info","2016 Jeep Cherokee North FWD - $18,990","$18,990","Victoria, BC
90 km away","72,730 kilometres",9-Speed Automatic,Bright White,,,,
"Save this listing2020 RAM 1500 Sport Quad Cab 4WD$56,729 ·$1,095/mo est.**Estimated payments are for informational purposes only and do not represent a financing offer or guarantee of credit from the seller or from CarGurus. Estimated payments are calculated based on the Dealer's Price and may or may not include freight, fees, license, insurance, registration and taxes. Dealer rates may differ. Monthly Estimate based on a 4.4% APR for 60 months, $56,729 vehicle price, $0 down payment, $0 trade-in, $0 sales tax.19,801 kmVictoria, BC (93 km)GREAT DEAL$6,840 below marketRequest InfoAuthorized RAM Dealer","2020 RAM 1500 Sport Quad Cab 4WD - $56,729","$56,729","Victoria, BC
93 km away","19,801 kilometres",8-Speed Automatic,Patriot Blue Pearlcoat,,,,"Customer Preferred Package, Alloy Wheels, Preferred Package, Bluetooth, Backup Camera, Remote Start, Heated Seats, Android Auto, Quick Order Package, CarPlay"
"Save this listing2014 Porsche Panamera GTS$69,500 ·$1,341/mo est.**Estimated payments are for informational purposes only and do not represent a financing offer or guarantee of credit from the seller or from CarGurus. Estimated payments are calculated based on the Dealer's Price and may or may not include freight, fees, license, insurance, registration and taxes. Dealer rates may differ. Monthly Estimate based on a 4.4% APR for 60 months, $69,500 vehicle price, $0 down payment, $0 trade-in, $0 sales tax.49,707 kmRichmond, BC (10 km)GREAT DEAL$7,116 below market(778) 743-7292Request Info","2014 Porsche Panamera GTS - $69,500","$69,500","Richmond, BC
10 km away","49,707 kilometres",Automatic,Gray,440 hp 4.8L V8,All-Wheel Drive,Gasoline,"Sport Package, Leather Seats, Sunroof/Moonroof, Navigation System, Alloy Wheels, Adaptive Suspension, Blind Spot Monitoring, Sport Chrono Package, Premium Plus Package, Parking Sensors, Premium Package, Heated Seats, Multi Zone Climate Control, Bluetooth, Backup Camera"
"Image Not AvailableSave this listing2020 Mercedes-Benz C-Class C 300 4MATIC Sedan AWD$44,994 ·$868/mo est.**Estimated payments are for informational purposes only and do not represent a financing offer or guarantee of credit from the seller or from CarGurus. Estimated payments are calculated based on the Dealer's Price and may or may not include freight, fees, license, insurance, registration and taxes. Dealer rates may differ. Monthly Estimate based on a 4.4% APR for 60 months, $44,994 vehicle price, $0 down payment, $0 trade-in, $0 sales tax.15,000 kmSurrey, BC (16 km)GREAT DEAL$4,834 below market(604) 330-6112Request InfoAuthorized Mercedes-Benz Dealer","2020 Mercedes-Benz C-Class C 300 4MATIC Sedan AWD - $44,994","$44,994","Surrey, BC
16 km away","15,000 kilometres",Automatic,Polar White,255 hp 2L I4,All-Wheel Drive,Gasoline,"Bluetooth, Premium Package"
"Save this listing2012 Chevrolet Orlando 1LT FWD$6,888 ·$133/mo est.**Estimated payments are for informational purposes only and do not represent a financing offer or guarantee of credit from the seller or from CarGurus. Estimated payments are calculated based on the Dealer's Price and may or may not include freight, fees, license, insurance, registration and taxes. Dealer rates may differ. Monthly Estimate based on a 4.4% APR for 60 months, $6,888 vehicle price, $0 down payment, $0 trade-in, $0 sales tax.133,000 kmVancouver, BC (8 km)GREAT DEAL$2,354 below marketRequest Info","2012 Chevrolet Orlando 1LT FWD - $6,888","$6,888","Vancouver, BC
8 km away","133,000 kilometres",Automatic,,,,,
"Save this listing2019 Tesla Model 3 Standard Plus RWD$50,900 ·$982/mo est.**Estimated payments are for informational purposes only and do not represent a financing offer or guarantee of credit from the seller or from CarGurus. Estimated payments are calculated based on the Dealer's Price and may or may not include freight, fees, license, insurance, registration and taxes. Dealer rates may differ. Monthly Estimate based on a 4.4% APR for 60 months, $50,900 vehicle price, $0 down payment, $0 trade-in, $0 sales tax.36,619 kmRichmond, BC (8 km)GREAT DEAL$4,727 below market(778) 718-0964Request Info","2019 Tesla Model 3 Standard Plus RWD - $50,900","$50,900","Richmond, BC
8 km away","36,619 kilometres",,White,,Rear-Wheel Drive,Electric,
"Save this listing2014 Toyota Sienna SE 8-Passenger$19,990 ·$386/mo est.**Estimated payments are for informational purposes only and do not represent a financing offer or guarantee of credit from the seller or from CarGurus. Estimated payments are calculated based on the Dealer's Price and may or may not include freight, fees, license, insurance, registration and taxes. Dealer rates may differ. Monthly Estimate based on a 4.4% APR for 60 months, $19,990 vehicle price, $0 down payment, $0 trade-in, $0 sales tax.102,500 kmNew Westminster, BC (6 km)GREAT DEAL$3,436 below market(604) 332-0217Request Info","2014 Toyota Sienna SE 8-Passenger - $19,990","$19,990","New Westminster, BC
6 km away","102,500 kilometres",Automatic,Silver,266 hp 3.5L V6,Front-Wheel Drive,Gasoline,"Navigation System, Bluetooth, Backup Camera"
"Save this listing2017 RAM 1500 Laramie Crew Cab 4WD$37,488 ·$724/mo est.**Estimated payments are for informational purposes only and do not represent a financing offer or guarantee of credit from the seller or from CarGurus. Estimated payments are calculated based on the Dealer's Price and may or may not include freight, fees, license, insurance, registration and taxes. Dealer rates may differ. Monthly Estimate based on a 4.4% APR for 60 months, $37,488 vehicle price, $0 down payment, $0 trade-in, $0 sales tax.124,211 kmLangley, BC (28 km)GREAT DEAL$4,107 below market(778) 400-6475Request Info","2017 RAM 1500 Laramie Crew Cab 4WD - $37,488","$37,488","Langley, BC
28 km away","124,211 kilometres",8-Speed Automatic,Dark Blue,395 hp 5.7L V8,Four-Wheel Drive,Gasoline,"Leather Seats, Sunroof/Moonroof, Power Package, Navigation System, Alloy Wheels, Blind Spot Monitoring, Heat Package, Parking Sensors, Heated Seats, Tow Package, Premium Sound Package, Android Auto, CarPlay, Multi Zone Climate Control, Bluetooth, Backup Camera, Remote Start, Off Road Package, Sound Package, Convenience Package"
"Save this listing2018 Mitsubishi RVR$20,999 ·$405/mo est.**Estimated payments are for informational purposes only and do not represent a financing offer or guarantee of credit from the seller or from CarGurus. Estimated payments are calculated based on the Dealer's Price and may or may not include freight, fees, license, insurance, registration and taxes. Dealer rates may differ. Monthly Estimate based on a 4.4% APR for 60 months, $20,999 vehicle price, $0 down payment, $0 trade-in, $0 sales tax.29,936 kmNanaimo, BC (73 km)GREAT DEAL$4,909 below marketRequest Info","2018 Mitsubishi RVR - $20,999","$20,999","Nanaimo, BC
73 km away","29,936 kilometres",Automatic,Red,,,,"Bluetooth, Backup Camera, Android Auto, CarPlay"
"Save this listing2013 Lincoln MKS EcoBoost AWD$17,995 ·$348/mo est.**Estimated payments are for informational purposes only and do not represent a financing offer or guarantee of credit from the seller or from CarGurus. Estimated payments are calculated based on the Dealer's Price and may or may not include freight, fees, license, insurance, registration and taxes. Dealer rates may differ. Monthly Estimate based on a 4.4% APR for 60 months, $17,995 vehicle price, $0 down payment, $0 trade-in, $0 sales tax.41,429 kmSurrey, BC (27 km)GREAT DEAL$3,013 below market(604) 332-7695Request Info","2013 Lincoln MKS EcoBoost AWD - $17,995","$17,995","Surrey, BC
27 km away","41,429 kilometres",Automatic,Gray,3.5L V6,All-Wheel Drive,Gasoline,"Leather Seats, Sunroof/Moonroof, Navigation System, Alloy Wheels, Bluetooth, Backup Camera, Heated Seats"
"Save this listing2018 Audi Q5 2.0T quattro Progressiv AWD$37,000 ·$714/mo est.**Estimated payments are for informational purposes only and do not represent a financing offer or guarantee of credit from the seller or from CarGurus. Estimated payments are calculated based on the Dealer's Price and may or may not include freight, fees, license, insurance, registration and taxes. Dealer rates may differ. Monthly Estimate based on a 4.4% APR for 60 months, $37,000 vehicle price, $0 down payment, $0 trade-in, $0 sales tax.62,928 kmRichmond, BC (8 km)GREAT DEAL$3,512 below market(604) 229-4709Request Info","2018 Audi Q5 2.0T quattro Progressiv AWD - $37,000","$37,000","Richmond, BC
8 km away","62,928 kilometres",Automatic,Mythos Black Met,,,,"Sport Package, Backup Camera, S Line Sport Package, Navigation System"
"Save this listing2021 Jeep Gladiator Rubicon Crew Cab 4WD$66,900 ·$1,291/mo est.**Estimated payments are for informational purposes only and do not represent a financing offer or guarantee of credit from the seller or from CarGurus. Estimated payments are calculated based on the Dealer's Price and may or may not include freight, fees, license, insurance, registration and taxes. Dealer rates may differ. Monthly Estimate based on a 4.4% APR for 60 months, $66,900 vehicle price, $0 down payment, $0 trade-in, $0 sales tax.654 kmLangley City, BC (29 km)GREAT DEAL$7,767 below market(604) 670-4595Request Info","2021 Jeep Gladiator Rubicon Crew Cab 4WD - $66,900","$66,900","Langley City, BC
29 km away",654 kilometres,6-Speed Manual,Silver,285 hp 3.6L V6,Four-Wheel Drive,Gasoline,"Leather Seats, Sunroof/Moonroof, Navigation System, Alloy Wheels, Bluetooth, Backup Camera, Remote Start, Tow Package, Android Auto, Quick Order Package, CarPlay"
"Save this listing2020 RAM 1500 Classic Warlock Quad Cab 4WD$44,999 ·$868/mo est.**Estimated payments are for informational purposes only and do not represent a financing offer or guarantee of credit from the seller or from CarGurus. Estimated payments are calculated based on the Dealer's Price and may or may not include freight, fees, license, insurance, registration and taxes. Dealer rates may differ. Monthly Estimate based on a 4.4% APR for 60 months, $44,999 vehicle price, $0 down payment, $0 trade-in, $0 sales tax.29,675 kmSurrey, BC (15 km)GREAT DEAL$3,849 below market(778) 720-6410Request InfoAuthorized RAM Dealer","2020 RAM 1500 Classic Warlock Quad Cab 4WD - $44,999","$44,999","Surrey, BC
15 km away","29,675 kilometres",8-Speed Automatic,,395 hp 5.7L V8,Four-Wheel Drive,Gasoline,"Sunroof/Moonroof, Navigation System, Alloy Wheels, Bluetooth, Backup Camera, Remote Start, Parking Sensors, Heated Seats, Android Auto, CarPlay"
"Save this listing2019 Nissan Qashqai SL AWD$28,297 ·$546/mo est.**Estimated payments are for informational purposes only and do not represent a financing offer or guarantee of credit from the seller or from CarGurus. Estimated payments are calculated based on the Dealer's Price and may or may not include freight, fees, license, insurance, registration and taxes. Dealer rates may differ. Monthly Estimate based on a 4.4% APR for 60 months, $28,297 vehicle price, $0 down payment, $0 trade-in, $0 sales tax.27,178 kmLangley, BC (29 km)GREAT DEAL$4,199 below market(604) 229-9534Request Info","2019 Nissan Qashqai SL AWD - $28,297","$28,297","Langley, BC
29 km away","27,178 kilometres",Automatic,Red,,,,"Bluetooth, Backup Camera, Blind Spot Monitoring, Heated Seats, Alloy Wheels"
"Save this listing2018 Nissan Qashqai SL AWD$24,995 ·$483/mo est.**Estimated payments are for informational purposes only and do not represent a financing offer or guarantee of credit from the seller or from CarGurus. Estimated payments are calculated based on the Dealer's Price and may or may not include freight, fees, license, insurance, registration and taxes. Dealer rates may differ. Monthly Estimate based on a 4.4% APR for 60 months, $24,995 vehicle price, $0 down payment, $0 trade-in, $0 sales tax.83,470 kmAbbotsford, BC (49 km)GREAT DEAL$3,987 below marketRequest InfoAuthorized Nissan Dealer","2018 Nissan Qashqai SL AWD - $24,995","$24,995","Abbotsford, BC
49 km away","83,470 kilometres",Continuously Variable Transmission,Black,,,,
"Save this listing2019 Honda CR-V EX-L AWD$31,998 ·$618/mo est.**Estimated payments are for informational purposes only and do not represent a financing offer or guarantee of credit from the seller or from CarGurus. Estimated payments are calculated based on the Dealer's Price and may or may not include freight, fees, license, insurance, registration and taxes. Dealer rates may differ. Monthly Estimate based on a 4.4% APR for 60 months, $31,998 vehicle price, $0 down payment, $0 trade-in, $0 sales tax.80,530 kmChilliwack, BC (75 km)GREAT DEAL$2,988 below market(604) 260-0224Request Info","2019 Honda CR-V EX-L AWD - $31,998","$31,998","Chilliwack, BC
75 km away","80,530 kilometres",Continuously Variable Transmission,Gray,190 hp 1.5L I4,All-Wheel Drive,Gasoline,"Sunroof/Moonroof, Bluetooth, Backup Camera, Remote Start, Heated Seats, Android Auto, CarPlay"
